"Index","deposit.amount"
2016-10-17,24317
2016-10-18,1698
2016-10-19,8876
2016-10-20,2182
2016-10-21,7564
2016-10-24,15828
2016-10-25,1670
2016-10-26,8100
2016-10-27,2340
2016-10-28,6614
2016-10-31,16272
2016-11-01,15322
2016-11-02,12464
2016-11-03,2546
2016-11-04,9870
2016-11-07,14417
2016-11-08,2109
2016-11-09,7323
2016-11-10,3786
2016-11-14,17314
2016-11-15,6150
2016-11-16,16288
2016-11-17,2763
2016-11-18,10433
2016-11-21,15534
2016-11-22,2089
2016-11-23,9218
2016-11-25,8307
2016-11-28,11516
2016-11-29,2174
2016-11-30,9141
2016-12-01,15553
2016-12-02,11484
2016-12-05,14734
2016-12-06,2395
2016-12-07,11465
2016-12-08,2779
2016-12-09,7116
2016-12-12,15540
2016-12-13,2122
2016-12-14,9003
2016-12-15,7871
2016-12-16,19400
2016-12-19,18473
2016-12-20,3326
2016-12-21,12147
2016-12-22,4641
2016-12-23,10834
2016-12-27,16799
2016-12-28,4875
2016-12-29,10001
2016-12-30,15465
2017-01-03,40534
2017-01-04,7980
2017-01-05,10667
2017-01-06,6802
2017-01-09,14472
2017-01-10,2289
2017-01-11,8501
2017-01-12,2974
2017-01-13,10449
2017-01-17,30487
2017-01-18,4707
2017-01-19,8307
2017-01-20,5459
2017-01-23,17404
2017-01-24,2496
2017-01-25,10397
2017-01-26,3055
2017-01-27,7917
2017-01-30,17885
2017-01-31,5122
2017-02-01,25426
2017-02-02,6968
2017-02-03,9362
2017-02-06,15846
2017-02-07,2562
2017-02-08,8322
2017-02-09,2702
2017-02-10,8264
2017-02-13,18098
2017-02-14,3478
2017-02-15,10772
2017-02-16,14601
2017-02-17,8002
2017-02-21,17974
2017-02-22,5545
2017-02-23,9896
2017-02-24,9480
2017-02-27,21560
2017-02-28,4944
2017-03-01,28243
2017-03-02,7276
2017-03-03,10364
2017-03-06,2852
2017-03-07,3089
2017-03-08,9230
2017-03-09,3554
2017-03-10,9817
2017-03-13,25224
2017-03-14,3032
2017-03-15,12454
2017-03-16,19603
2017-03-17,6650
2017-03-20,14850
2017-03-21,2295
2017-03-22,10454
2017-03-23,2700
2017-03-24,8093
2017-03-27,17844
2017-03-28,1505
2017-03-29,7593
2017-03-30,2787
2017-03-31,9407
2017-04-03,34198
2017-04-04,3558
2017-04-05,10567
2017-04-06,2965
2017-04-07,8437
2017-04-10,16325
2017-04-11,3230
2017-04-12,7925
2017-04-13,3653
2017-04-14,9135
2017-04-17,13223
2017-04-18,18320
2017-04-19,6778
2017-04-20,4806
2017-04-21,8394
2017-04-24,16330
2017-04-25,1842
2017-04-26,9334
2017-04-27,2675
2017-04-28,8814
2017-05-01,29778
2017-05-02,6255
2017-05-03,11199
2017-05-04,2300
2017-05-05,8021
2017-05-08,16121
2017-05-09,1773
2017-05-10,7800
2017-05-11,2904
2017-05-12,6147
2017-05-15,16800
2017-05-16,11333
2017-05-17,8310
2017-05-18,3037
2017-05-19,9851
2017-05-22,15990
2017-05-23,2088
2017-05-24,7458
2017-05-25,2304
2017-05-26,7007
2017-05-30,14907
2017-05-31,6167
2017-06-01,20919
2017-06-02,12885
2017-06-05,15076
2017-06-06,2475
2017-06-07,10312
2017-06-08,2636
2017-06-09,6599
2017-06-12,14796
2017-06-13,1767
2017-06-14,8583
2017-06-15,6862
2017-06-16,16938
2017-06-19,15996
2017-06-20,2153
2017-06-21,10211
2017-06-22,2571
2017-06-23,6959
2017-06-26,14177
2017-06-27,1918
2017-06-28,8062
2017-06-29,3053
2017-06-30,10692
2017-07-03,34493
2017-07-05,5505
2017-07-06,10260
2017-07-07,6090
2017-07-10,14977
2017-07-11,2486
2017-07-12,7770
2017-07-13,2198
2017-07-14,8710
2017-07-17,27289
2017-07-18,1965
2017-07-19,9621
2017-07-20,2333
2017-07-21,6378
2017-07-24,14440
2017-07-25,1800
2017-07-26,8872
2017-07-27,2464
2017-07-28,8308
2017-07-31,18847
2017-08-01,16331
2017-08-02,11834
2017-08-03,3844
2017-08-04,8808
2017-08-07,13981
2017-08-08,2112
2017-08-09,7656
2017-08-10,2257
2017-08-11,8394
2017-08-14,15199
2017-08-15,5265
2017-08-16,17183
2017-08-17,4489
2017-08-21,13559
2017-08-22,1788
2017-08-23,7717
2017-08-24,2032
2017-08-25,7805
2017-08-28,17117
2017-08-29,1661
2017-08-30,8038
2017-08-31,4552
2017-09-01,20336
2017-09-05,18858
2017-09-06,4236
2017-09-07,9762
2017-09-08,7894
2017-09-11,15895
2017-09-12,3519
2017-09-13,7554
2017-09-14,2767
2017-09-15,10870
2017-09-18,23787
2017-09-19,2010
2017-09-20,10030
2017-09-21,2816
2017-09-22,7715
2017-09-25,16355
2017-09-26,2358
2017-09-27,8185
2017-09-28,2578
2017-09-29,9096
2017-10-02,31606
2017-10-04,10287
2017-10-05,2635
2017-10-06,8089
2017-10-10,16483
2017-10-11,4391
2017-10-12,7456
2017-10-13,7543
2017-10-16,25305
2017-10-17,2544
2017-10-18,9889
2017-10-19,2226
2017-10-20,7587
2017-10-23,16822
2017-10-24,1975
2017-10-25,7680
2017-10-26,2910
2017-10-27,6279
2017-10-30,13960
2017-10-31,5018
2017-11-01,21739
2017-11-02,6697
2017-11-03,11500
2017-11-06,15412
2017-11-07,2280
2017-11-08,8479
2017-11-09,2844
2017-11-10,4501
2017-11-13,15212
2017-11-14,2688
2017-11-15,11486
2017-11-16,11416
2017-11-17,8613
2017-11-20,16717
2017-11-22,11405
2017-11-24,9774
2017-11-27,12893
2017-11-28,7898
2017-11-30,4674
2017-12-01,22763
2017-12-04,19823
2017-12-05,3150
2017-12-06,11053
2017-12-07,2986
2017-12-08,7702
2017-12-11,16063
2017-12-12,2667
2017-12-13,8779
2017-12-14,3823
2017-12-15,15586
2017-12-18,30681
2017-12-19,3364
2017-12-20,12328
2017-12-21,5812
2017-12-22,10489
2017-12-26,20086
2017-12-27,5177
2017-12-28,11617
2017-12-29,16445
2018-01-02,46295
2018-01-03,8097
2018-01-04,11473
2018-01-05,6913
2018-01-08,15684
2018-01-09,2343
2018-01-10,7929
2018-01-11,3447
2018-01-12,9434
2018-01-16,32098
2018-01-17,5571
2018-01-18,8676
2018-01-19,7254
2018-01-22,16677
2018-01-23,2920
2018-01-24,9833
2018-01-25,2427
2018-01-26,8317
2018-01-29,18294
2018-01-30,2860
2018-01-31,10862
2018-02-01,20516
2018-02-02,11940
2018-02-05,14625
2018-02-06,2687
2018-02-07,10339
2018-02-08,2650
2018-02-09,7838
2018-02-12,17687
2018-02-13,2263
2018-02-14,8050
2018-02-15,5960
2018-02-16,18511
2018-02-20,18652
2018-02-21,5543
2018-02-22,9472
2018-02-23,9266
2018-02-26,20828
2018-02-27,3002
2018-02-28,10856
2018-03-01,23405
2018-03-02,11275
2018-03-05,16863
2018-03-06,2852
2018-03-07,11140
2018-03-08,3615
2018-03-09,10272
2018-03-12,25371
2018-03-13,3090
2018-03-14,8922
2018-03-15,7806
2018-03-16,23827
2018-03-19,14670
2018-03-20,2049
2018-03-21,10303
2018-03-22,2393
2018-03-23,8578
2018-03-26,17515
2018-03-27,1972
2018-03-28,7593
2018-03-29,4699
2018-03-30,11158
2018-04-02,28432
2018-04-03,4550
2018-04-04,10328
2018-04-05,2264
2018-04-06,7711
2018-04-09,16325
2018-04-10,2123
2018-04-11,9007
2018-04-12,1269
2018-04-13,10216
2018-04-16,13430
2018-04-17,17775
2018-04-18,6508
2018-04-19,4663
2018-04-20,7323
2018-04-23,17443
2018-04-24,2050
2018-04-25,7579
2018-04-26,2695
2018-04-27,6988
2018-04-30,16252
2018-05-01,16162
2018-05-02,11754
2018-05-03,3950
2018-05-04,9872
2018-05-07,15376
2018-05-08,2173
2018-05-09,7877
2018-05-10,2143
2018-05-11,6544
2018-05-14,13520
2018-05-15,4777
2018-05-16,17281
2018-05-17,3461
2018-05-18,10096
2018-05-21,15822
2018-05-22,1948
2018-05-23,8062
2018-05-24,2183
2018-05-25,6208
2018-05-29,14929
2018-05-30,3544
2018-05-31,9208
2018-06-01,21934
2018-06-04,18488
2018-06-05,2337
2018-06-06,10581
2018-06-07,2357
2018-06-08,6691
2018-06-11,14199
2018-06-12,1878
2018-06-13,8233
2018-06-14,2652
2018-06-15,11082
2018-06-18,25582
2018-06-19,2367
2018-06-20,10104
2018-06-21,2746
2018-06-22,6209
2018-06-25,13702
2018-06-26,2602
2018-06-27,9365
2018-06-28,2411
2018-06-29,10211
2018-07-02,32334
2018-07-03,5628
2018-07-05,11131
2018-07-06,5805
2018-07-09,14649
2018-07-10,1850
2018-07-11,8174
2018-07-12,2047
2018-07-13,8199
2018-07-16,27108
2018-07-17,2702
2018-07-18,9166
2018-07-19,2154
2018-07-20,6005
2018-07-23,14446
2018-07-24,1630
2018-07-25,7896
2018-07-26,3120
2018-07-27,7451
2018-07-30,16503
2018-07-31,4461
2018-08-01,21590
2018-08-02,6357
2018-08-03,9952
2018-08-06,13492
2018-08-07,2175
2018-08-08,8395
2018-08-09,2123
2018-08-10,7306
2018-08-13,15845
2018-08-14,2057
2018-08-15,11021
2018-08-16,11306
2018-08-17,7055
2018-08-20,13752
2018-08-21,2172
2018-08-22,9630
2018-08-23,2438
2018-08-24,7605
2018-08-27,16570
2018-08-28,1503
2018-08-29,7634
2018-08-30,2689
2018-08-31,8515
2018-09-04,31458
2018-09-05,4891
2018-09-06,9518
2018-09-07,7116
2018-09-10,15843
2018-09-11,2894
2018-09-12,7917
2018-09-13,2489
2018-09-14,9672
2018-09-17,25511
2018-09-18,2727
2018-09-19,9650
2018-09-20,2252
2018-09-21,7825
2018-09-24,16454
2018-09-25,1730
2018-09-26,8404
2018-09-27,3184
2018-09-28,8334
2018-10-01,27842
2018-10-02,5947
2018-10-03,11252
2018-10-04,2220
2018-10-05,7516
2018-10-09,16824
2018-10-10,3849
2018-10-11,7748
2018-10-12,5827
2018-10-15,16445
2018-10-16,11474
2018-10-17,7779
2018-10-18,2317
2018-10-19,9258
2018-10-22,16206
2018-10-23,2216
2018-10-24,7369
2018-10-25,2157
2018-10-26,6620
2018-10-29,13974
2018-10-30,1866
2018-10-31,10263
2018-11-01,15928
2018-11-02,12311
2018-11-05,15438
2018-11-06,2585
2018-11-07,10705
2018-11-08,2675
2018-11-09,6508
2018-11-13,14554
2018-11-14,3615
2018-11-15,10948
2018-11-16,16351
2018-11-19,17022
2018-11-20,2708
2018-11-21,11589
2018-11-23,9079
2018-11-26,12166
2018-11-27,1988
2018-11-28,7733
2018-11-29,2958
2018-11-30,9296
2018-12-03,33243
2018-12-04,3415
2018-12-05,10375
2018-12-06,3218
2018-12-07,7101
2018-12-10,15574
2018-12-11,3141
2018-12-12,8930
2018-12-13,2895
2018-12-14,11028
2018-12-17,32745
2018-12-18,4318
2018-12-19,11448
2018-12-20,4066
2018-12-21,10373
2018-12-24,20834
2018-12-26,4951
2018-12-27,9715
2018-12-28,11023
2018-12-31,25652
2019-01-02,26116
2019-01-03,11889
2019-01-04,10247
2019-01-07,14323
2019-01-08,2510
2019-01-09,7814
2019-01-10,2453
2019-01-11,8153
2019-01-14,16580
2019-01-15,6436
2019-01-16,18117
2019-01-17,3498
2019-01-18,8839
2019-01-22,17503
2019-01-23,5047
2019-01-24,8466
2019-01-25,7740
2019-01-28,18685
2019-01-29,2329
2019-01-30,9064
2019-01-31,5598
2019-02-01,25812
2019-02-04,18642
